177,This is example feedback for Rubric Component 1 0.29984352591635877,"3",This is example feedback for Rubric Component 2 0.5350724813552512,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
179,This is example feedback for Rubric Component 1 0.21207861610943168,"3",This is example feedback for Rubric Component 2 0.6438414474876366,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
182,This is example feedback for Rubric Component 1 0.06888774317270574,"3",This is example feedback for Rubric Component 2 0.9584332709732484,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
184,This is example feedback for Rubric Component 1 0.7042476348151856,"3",This is example feedback for Rubric Component 2 0.047977152189006445,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
190,This is example feedback for Rubric Component 1 0.6995981426613489,"3",This is example feedback for Rubric Component 2 0.7154364647002567,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
196,This is example feedback for Rubric Component 1 0.9369606244750233,"3",This is example feedback for Rubric Component 2 0.10561787000230227,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
202,This is example feedback for Rubric Component 1 0.3460195845434424,"3",This is example feedback for Rubric Component 2 0.3093672796715854,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
208,This is example feedback for Rubric Component 1 0.0871660815219717,"3",This is example feedback for Rubric Component 2 0.7342352162112713,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
214,This is example feedback for Rubric Component 1 0.07745146188678964,"3",This is example feedback for Rubric Component 2 0.5768631177393935,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
220,This is example feedback for Rubric Component 1 0.19048890134064145,"3",This is example feedback for Rubric Component 2 0.5903837024597012,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
226,This is example feedback for Rubric Component 1 0.05275883803157044,"3",This is example feedback for Rubric Component 2 0.9958116242985733,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
232,This is example feedback for Rubric Component 1 0.3170082221476245,"3",This is example feedback for Rubric Component 2 0.45930822028073615,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
238,This is example feedback for Rubric Component 1 0.39663855328198294,"3",This is example feedback for Rubric Component 2 0.36759959087310734,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
244,This is example feedback for Rubric Component 1 0.8437051987607436,"3",This is example feedback for Rubric Component 2 0.8554564578377284,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
250,This is example feedback for Rubric Component 1 0.8408848428418041,"3",This is example feedback for Rubric Component 2 0.5520200860510067,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
256,This is example feedback for Rubric Component 1 0.3837928205526868,"3",This is example feedback for Rubric Component 2 0.26692093146408613,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
262,This is example feedback for Rubric Component 1 0.9633545618247106,"3",This is example feedback for Rubric Component 2 0.1407054765325595,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
268,This is example feedback for Rubric Component 1 0.8163454276205742,"3",This is example feedback for Rubric Component 2 0.2006003242508596,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
274,This is example feedback for Rubric Component 1 0.6856041889475393,"3",This is example feedback for Rubric Component 2 0.5376162910564675,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
280,This is example feedback for Rubric Component 1 0.0917818709053968,"3",This is example feedback for Rubric Component 2 0.07081548005264016,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
286,This is example feedback for Rubric Component 1 0.18231608530132437,"3",This is example feedback for Rubric Component 2 0.500435201713415,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
292,This is example feedback for Rubric Component 1 0.9302414956416158,"3",This is example feedback for Rubric Component 2 0.504801980689642,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
298,This is example feedback for Rubric Component 1 0.7541346168440957,"3",This is example feedback for Rubric Component 2 0.2405263770620416,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
308,This is example feedback for Rubric Component 1 0.03691260121520923,"3",This is example feedback for Rubric Component 2 0.32640099631414254,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
314,This is example feedback for Rubric Component 1 0.8406695265987412,"3",This is example feedback for Rubric Component 2 0.8912792568877301,"3","testFingerprint","testTemp","testTOP_P","testSeed","testModel"
